student_id,gender,race,residence,income,school_type,hooks,major,sat,ec_awards,essay_lor_interview,target_college,accepted
3,F,ASIAN,MA,High,PUBLIC,NONE,NEUROSCIENCE,1580,7.5,7.5,UCLA,1
3,F,ASIAN,MA,High,PUBLIC,NONE,NEUROSCIENCE,1580,7.5,7.5,HARVARD,1
3,F,ASIAN,MA,High,PUBLIC,NONE,NEUROSCIENCE,1580,7.5,7.5,YALE,1
3,F,ASIAN,MA,High,PUBLIC,NONE,NEUROSCIENCE,1580,7.5,7.5,COLUMBIA,1
3,F,ASIAN,MA,High,PUBLIC,NONE,NEUROSCIENCE,1580,7.5,7.5,DUKE,1
3,F,ASIAN,MA,High,PUBLIC,NONE,NEUROSCIENCE,1580,7.5,7.5,NYU,1
3,F,ASIAN,MA,High,PUBLIC,NONE,NEUROSCIENCE,1580,7.5,7.5,UMICH,1
3,F,ASIAN,MA,High,PUBLIC,NONE,NEUROSCIENCE,1580,7.5,7.5,UNC CHAPEL HILL,1
3,F,ASIAN,MA,High,PUBLIC,NONE,NEUROSCIENCE,1580,7.5,7.5,UVA,1
5,F,ASIAN,OR,Middle,PUBLIC,NONE,CS,1580,7.5,4.7,CORNELL,1
5,F,ASIAN,OR,Middle,PUBLIC,NONE,CS,1580,7.5,4.7,RUTGERS,1
6,F,WHITE,NY,Low,PUBLIC,NONE,CS,1550,8.5,8,MIT,1
8,F,BLACK,TX,Middle,PUBLIC,URM,ENG,1520,3,2.5,COLUMBIA,1
8,F,BLACK,TX,Middle,PUBLIC,URM,ENG,1520,3,2.5,MIT,1
8,F,BLACK,TX,Middle,PUBLIC,URM,ENG,1520,3,2.5,UT-AUSTIN,1
8,F,BLACK,TX,Middle,PUBLIC,URM,ENG,1520,3,2.5,TAMU,1
9,T,ASIAN,CA,Low,PUBLIC,NONE,CS,1560,6.5,7.2,BERKELEY,1
9,T,ASIAN,CA,Low,PUBLIC,NONE,CS,1560,6.5,7.2,MIT,1
9,T,ASIAN,CA,Low,PUBLIC,NONE,CS,1560,6.5,7.2,CALTECH,1
10,M,WHITE,IN,Low,PUBLIC,LEGACY,CS,1530,7.5,2.5,BROWN,1
10,M,WHITE,IN,Low,PUBLIC,LEGACY,CS,1530,7.5,2.5,GEORGIA TECH,1
10,M,WHITE,IN,Low,PUBLIC,LEGACY,CS,1530,7.5,2.5,PURDUE,1
10,M,WHITE,IN,Low,PUBLIC,LEGACY,CS,1530,7.5,2.5,VIRGINIA TECH,1
10,M,WHITE,IN,Low,PUBLIC,LEGACY,CS,1530,7.5,2.5,UVA,1
14,F,ASIAN,WA,Low,PRIVATE,LEGACY,POLISCI,1570,7.5,4.2,UCHICAGO,1
16,F,BLACK,FL,Low,PUBLIC,URM,HISTORY,1500,7.5,4.7,YALE,1
17,M,WHITE,CA,Low,PUBLIC,NONE,BIO,1540,7.5,7.3,UCLA,1
17,M,WHITE,CA,Low,PUBLIC,NONE,BIO,1540,7.5,7.3,STANFORD,1
17,M,WHITE,CA,Low,PUBLIC,NONE,BIO,1540,7.5,7.3,MIT,1
17,M,WHITE,CA,Low,PUBLIC,NONE,BIO,1540,7.5,7.3,UCSB,1
