Gender,Race,Residence,Income,School Type,Hooks,Major,SAT,EC-AWARDS,ESSAY-LOR-INTERVIEW,Acceptances,Waitlists,Rejections,Note
M,ASIAN,MI,Low,-1,NONE,CS,1440,2,4.5,['*PURDUE'],"['*GEORGIA TECH', '*UMICH']","['*UIUC', '*NORTHEASTERN']",
OTHER,ASIAN,IN,High,-1,NONE,CS,1390,5.5,4.5,['*STANFORD'],[],['*CALTECH'],
F,ASIAN,MA,High,PUBLIC,NONE,NEUROSCIENCE,1580,7.5,7.5,"['*UCLA', '*HARVARD', '*YALE', '*COLUMBIA', '*DUKE', '*NYU', '*UMICH', '*UNC CHAPEL HILL', '*UVA']",['*UPENN'],"['*STANFORD', '*COLUMBIA']",
M,WHITE,IN,Low,-1,URM,CS,1580,5.5,1.5,"['*GEORGIA TECH', '*UT-AUSTIN', '*ARIZONA STATE', '*UCI']","['*HARVARD', '*UCHICAGO']","['*UCLA', '*NORTHWESTERN', '*UMICH', '*EMORY', '*USC', '*HARVEY MUDD', '*UNC CHAPEL HILL', '*UVA']",
F,ASIAN,OR,Middle,PUBLIC,NONE,CS,1580,7.5,4.7,"['*CORNELL', '*RUTGERS']",[],['*CORNELL'],
F,WHITE,NY,Low,PUBLIC,NONE,CS,1550,8.5,8,['*MIT'],[],[],
M,ASIAN,GA,Middle,PUBLIC,NONE,-1,1580,6.5,6.3,['*CMU'],[],"['*STANFORD', '*BERKELEY', '*GEORGIA TECH', '*PURDUE', '*UMICH']",
F,BLACK,TX,Middle,PUBLIC,URM,ENG,1520,3,2.5,"['*COLUMBIA', '*MIT', '*UT-AUSTIN', '*TAMU']",[],[],
T,ASIAN,CA,Low,PUBLIC,NONE,CS,1560,6.5,7.2,"['*BERKELEY', '*MIT', '*CALTECH']",[],[],
M,WHITE,IN,Low,PUBLIC,LEGACY,CS,1530,7.5,2.5,"['*BROWN', '*GEORGIA TECH', '*PURDUE', '*VIRGINIA TECH', '*UVA']","['*DUKE', '*UMICH', '*WASHU']","['*STANFORD', '*NORTHWESTERN']",
F,WHITE,MA,Low,-1,NONE,PSYCH,1430,2,8,['*EMORY'],[],[],
M,ASIAN,-1,Low,PUBLIC,NONE,CS,1590,7.5,8.7,"['*YALE', '*GEORGIA TECH', '*SWARTHMORE', '*CMU', '*UPENN']","['*HARVARD', '*CORNELL', '*PRINCETON', '*MIT']","['*BROWN', '*STANFORD', '*COLUMBIA', '*CALTECH', '*UCHICAGO']",
F,-1,CA,Low,PUBLIC,URM,ENG,1280,2,4.5,"['*BERKELEY', '*NYU', '*UCD', '*FORDHAM', '*UCHICAGO']",['*UCLA'],"['*HARVARD', '*STANFORD', '*BERKELEY', '*NYU']",
F,ASIAN,WA,Low,PRIVATE,LEGACY,POLISCI,1570,7.5,4.2,['*UCHICAGO'],[],[],
M,WHITE,TX,Low,-1,NONE,LAW,1560,6.5,3.5,"['*COLUMBIA', '*UT-AUSTIN', '*TAMU']",[],"['*YALE', '*COLUMBIA']",
F,BLACK,FL,Low,PUBLIC,URM,HISTORY,1500,7.5,4.7,['*YALE'],['*COLUMBIA'],"['*HARVARD', '*CORNELL']",
M,WHITE,CA,Low,PUBLIC,NONE,BIO,1540,7.5,7.3,"['*UCLA', '*STANFORD', '*MIT', '*UCSB', '*UCD']",['*TULANE'],[],
M,ASIAN,INTERNATIONAL,Low,-1,NONE,CS,1510,7.5,6.2,['*UPENN'],[],[],
F,WHITE,CA,Low,PUBLIC,NONE,CS,1490,7.5,4.5,"['*MIT', '*JOHNS HOPKINS', '*WASHU']",[],['*CALTECH'],
M,BLACK,PA,Low,PRIVATE,URM,BIO,1520,5.5,4.5,"['*CMU', '*TUFTS']",['*HARVARD'],"['*HARVARD', '*BROWN', '*CORNELL', '*JOHNS HOPKINS', '*DARTMOUTH', '*UPENN']",
F,BLACK,CA,Low,PRIVATE,URM,CS,1320,5,5.7,['*UPENN'],[],['*NYU'],
M,ASIAN,WA,Low,-1,NONE,CS,1570,4.5,1.5,"['*NYU', '*NORTHEASTERN']",[],['*CLAREMONT MCKENNA'],
F,WHITE,NY,Low,-1,URM,MEDIA STUDIES,1240,4.5,2,['*UPENN'],[],"['*CMU', '*UPENN', '*UMICH', '*USC', '*BOSTON UNIVERSITY', '*NORTHEASTERN']",
M,ASIAN,GA,High,-1,NONE,CS,1480,5,4.5,[],[],"['*HARVARD', '*COLUMBIA', '*DARTMOUTH', '*NYU', '*NORTHEASTERN']",
F,ASIAN,CA,High,PUBLIC,NONE,BIO,1430,5.5,4.2,"['*UCSD', '*UCR', '*UCI']",[],"['*UCLA', '*HARVARD', '*BROWN', '*STANFORD', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*JOHNS HOPKINS', '*POMONA', '*UPENN', '*UMICH', '*UCD', '*HARVEY MUDD']",
F,ASIAN,CA,Low,-1,NONE,CS,1570,8.5,4.5,"['*PURDUE', '*POMONA', '*NYU', '*UMICH', '*UCSB', '*UCD', '*UCSC', '*UCR', '*UIUC', '*RUTGERS', '*San Jose State University']","['*UCSD', '*GEORGIA TECH', '*UCHICAGO', '*UCI']","['*UCLA', '*HARVARD', '*BROWN', '*STANFORD', '*COLUMBIA', '*CORNELL', '*BERKELEY', '*DUKE', '*CMU', '*RICE', '*UPENN', '*UT-AUSTIN']",
M,-1,CA,Low,PUBLIC,NONE,CS,1540,8.5,4.7,"['*UCLA', '*CORNELL', '*BERKELEY', '*USC', '*UCI']","['*HARVARD', '*BROWN', '*DARTMOUTH', '*VANDERBILT', '*NYU', '*UCHICAGO']","['*YALE', '*STANFORD', '*NORTHWESTERN', '*COLUMBIA', '*DUKE', '*PRINCETON', '*UPENN']",
M,ASIAN,DC,Low,PUBLIC,FIRST-GEN,CHEMISTRY,1570,3.5,6.5,[],['*TULANE'],"['*YALE', '*BROWN', '*JOHNS HOPKINS', '*SWARTHMORE', '*UPENN']",
F,BLACK,IN,Low,PRIVATE,NONE,CS,1420,6.5,7.5,"['*BROWN', '*JOHNS HOPKINS', '*BOSTON UNIVERSITY', '*FORDHAM']",[],"['*HARVARD', '*YALE', '*NORTHWESTERN', '*JOHNS HOPKINS', '*NYU', '*UPENN', '*TUFTS']",
F,WHITE,MI,High,PUBLIC,NONE,BIO,1430,3.5,4.5,['*UCD'],"['*CASE WESTERN', '*TULANE']","['*UCSD', '*RICE', '*UCSB']",
F,BLACK,MO,Low,PUBLIC,URM,CS,1420,6.5,7.5,"['*RICE', '*EMORY', '*USC', '*TUFTS']","['*NORTHWESTERN', '*WILLIAMS', '*COLGATE']","['*BROWN', '*COLUMBIA', '*DUKE', '*PRINCETON', '*DARTMOUTH', '*POMONA']",
F,WHITE,MI,High,PUBLIC,NONE,BUSINESS,1190,1,4.5,['*USC'],[],[],
M,ASIAN,OR,High,PUBLIC,NONE,BIO,1410,5.5,7.5,"['*MIT', '*UPENN']",[],"['*HARVARD', '*GEORGIA TECH', '*SWARTHMORE', '*COLGATE', '*TULANE', '*UVA']",
