gender,race,residence,income,school_type,hooks,major,sat,ec_awards,essay_lor_interview,acceptances,waitlists,rejections,note,acceptances_clean,waitlists_clean,rejections_clean,num_acceptances,num_waitlists,num_rejections
M,ASIAN,MI,Low,NA,NONE,CS,1440,2,4.5,['*PURDUE'],"['*GEORGIA TECH', '*UMICH']","['*UIUC', '*NORTHEASTERN']",NA,PURDUE,"GEORGIA TECH, UMICH","UIUC, NORTHEASTERN",1,2,2
OTHER,ASIAN,IN,High,NA,NONE,CS,1390,5.5,4.5,['*STANFORD'],[],['*CALTECH'],NA,STANFORD,,CALTECH,1,0,1
F,ASIAN,MA,High,PUBLIC,NONE,NEUROSCIENCE,1580,7.5,7.5,"['*UCLA', '*HARVARD', '*YALE', '*COLUMBIA', '*DUKE', '*NYU', '*UMICH', '*UNC CHAPEL HILL', '*UVA']",['*UPENN'],"['*STANFORD', '*COLUMBIA']",NA,"UCLA, HARVARD, YALE, COLUMBIA, DUKE, NYU, UMICH, UNC CHAPEL HILL, UVA",UPENN,"STANFORD, COLUMBIA",9,1,2
M,WHITE,IN,Low,NA,URM,CS,1580,5.5,1.5,"['*GEORGIA TECH', '*UT-AUSTIN', '*ARIZONA STATE', '*UCI']","['*HARVARD', '*UCHICAGO']","['*UCLA', '*NORTHWESTERN', '*UMICH', '*EMORY', '*USC', '*HARVEY MUDD', '*UNC CHAPEL HILL', '*UVA']",NA,"GEORGIA TECH, UT-AUSTIN, ARIZONA STATE, UCI","HARVARD, UCHICAGO","UCLA, NORTHWESTERN, UMICH, EMORY, USC, HARVEY MUDD, UNC CHAPEL HILL, UVA",4,2,8
F,ASIAN,OR,Middle,PUBLIC,NONE,CS,1580,7.5,4.7,"['*CORNELL', '*RUTGERS']",[],['*CORNELL'],NA,"CORNELL, RUTGERS",,CORNELL,2,0,1
F,WHITE,NY,Low,PUBLIC,NONE,CS,1550,8.5,8,['*MIT'],[],[],NA,MIT,,,1,0,0
M,ASIAN,GA,Middle,PUBLIC,NONE,NA,1580,6.5,6.3,['*CMU'],[],"['*STANFORD', '*BERKELEY', '*GEORGIA TECH', '*PURDUE', '*UMICH']",NA,CMU,,"STANFORD, BERKELEY, GEORGIA TECH, PURDUE, UMICH",1,0,5
F,BLACK,TX,Middle,PUBLIC,URM,ENG,1520,3,2.5,"['*COLUMBIA', '*MIT', '*UT-AUSTIN', '*TAMU']",[],[],NA,"COLUMBIA, MIT, UT-AUSTIN, TAMU",,,4,0,0
T,ASIAN,CA,Low,PUBLIC,NONE,CS,1560,6.5,7.2,"['*BERKELEY', '*MIT', '*CALTECH']",[],[],NA,"BERKELEY, MIT, CALTECH",,,3,0,0
M,WHITE,IN,Low,PUBLIC,LEGACY,CS,1530,7.5,2.5,"['*BROWN', '*GEORGIA TECH', '*PURDUE', '*VIRGINIA TECH', '*UVA']","['*DUKE', '*UMICH', '*WASHU']","['*STANFORD', '*NORTHWESTERN']",NA,"BROWN, GEORGIA TECH, PURDUE, VIRGINIA TECH, UVA","DUKE, UMICH, WASHU","STANFORD, NORTHWESTERN",5,3,2
